category,speciesCode,comName,sciName,familyComName,familySciName,order,taxonOrder
species,canvas,Canvasback,Aythya valisineria,"Ducks, Geese, and Waterfowl",Anatidae,Anseriformes,641
species,camwar,Cape May Warbler,Setophaga tigrina,New World Warblers,Parulidae,Passeriformes,33781
species,carwre,Carolina Wren,Thryothorus ludovicianus,Wrens,Troglodytidae,Passeriformes,27107
species,caster1,Caspian Tern,Hydroprogne caspia,"Gulls, Terns, and Skimmers",Laridae,Charadriiformes,6644
species,cedwax,Cedar Waxwing,Bombycilla cedrorum,Waxwings,Bombycillidae,Passeriformes,29618
species,cerwar,Cerulean Warbler,Setophaga cerulea,New World Warblers,Parulidae,Passeriformes,33782
species,chswar,Chestnut-sided Warbler,Setophaga pensylvanica,New World Warblers,Parulidae,Passeriformes,33849
species,chiswi,Chimney Swift,Chaetura pelagica,Swifts,Apodidae,Apodiformes,3842
species,chispa,Chipping Sparrow,Spizella passerina,New World Sparrows,Passerellidae,Passeriformes,32708
species,clcspa,Clay-colored Sparrow,Spizella pallida,New World Sparrows,Passerellidae,Passeriformes,32714
species,cliswa,Cliff Swallow,Petrochelidon pyrrhonota,Swallows,Hirundinidae,Passeriformes,24051
species,comgal1,Common Gallinule,Gallinula galeata,"Rails, Gallinules, and Coots",Rallidae,Gruiformes,5411
species,comgol,Common Goldeneye,Bucephala clangula,"Ducks, Geese, and Waterfowl",Anatidae,Anseriformes,718
species,comgra,Common Grackle,Quiscalus quiscula,Troupials and Allies,Icteridae,Passeriformes,33576
species,comloo,Common Loon,Gavia immer,Loons,Gaviidae,Gaviiformes,6854
species,commer,Common Merganser,Mergus merganser,"Ducks, Geese, and Waterfowl",Anatidae,Anseriformes,737
species,comnig,Common Nighthawk,Chordeiles minor,Nightjars and Allies,Caprimulgidae,Caprimulgiformes,3439
species,comter,Common Tern,Sterna hirundo,"Gulls, Terns, and Skimmers",Laridae,Charadriiformes,6674
species,comyel,Common Yellowthroat,Geothlypis trichas,New World Warblers,Parulidae,Passeriformes,33749
species,conwar,Connecticut Warbler,Oporornis agilis,New World Warblers,Parulidae,Passeriformes,33714
species,daejun,Dark-eyed Junco,Junco hyemalis,New World Sparrows,Passerellidae,Passeriformes,32842
species,dickci,Dickcissel,Spiza americana,Cardinals and Allies,Cardinalidae,Passeriformes,34337
species,doccor,Double-crested Cormorant,Nannopterum auritum,Cormorants and Shags,Phalacrocoracidae,Suliformes,7342
species,dowwoo,Downy Woodpecker,Dryobates pubescens,Woodpeckers,Picidae,Piciformes,11287
species,dunlin,Dunlin,Calidris alpina,Sandpipers and Allies,Scolopacidae,Charadriiformes,6130
species,eargre,Eared Grebe,Podiceps nigricollis,Grebes,Podicipedidae,Podicipediformes,6797
species,easblu,Eastern Bluebird,Sialia sialis,Thrushes and Allies,Turdidae,Passeriformes,27881
species,easkin,Eastern Kingbird,Tyrannus tyrannus,Tyrant Flycatchers,Tyrannidae,Passeriformes,17302
species,easmea,Eastern Meadowlark,Sturnella magna,Troupials and Allies,Icteridae,Passeriformes,33290
species,easpho,Eastern Phoebe,Sayornis phoebe,Tyrant Flycatchers,Tyrannidae,Passeriformes,16840
species,easowl1,Eastern Screech-Owl,Megascops asio,Owls,Strigidae,Strigiformes,8770
species,eastow,Eastern Towhee,Pipilo erythrophthalmus,New World Sparrows,Passerellidae,Passeriformes,33136
species,easwpw1,Eastern Whip-poor-will,Antrostomus vociferus,Nightjars and Allies,Caprimulgidae,Caprimulgiformes,3561
species,eawpew,Eastern Wood-Pewee,Contopus virens,Tyrant Flycatchers,Tyrannidae,Passeriformes,16757
species,eurgol,European Goldfinch,Carduelis carduelis,"Finches, Euphonias, and Allies",Fringillidae,Passeriformes,32273
species,eursta,European Starling,Sturnus vulgaris,Starlings,Sturnidae,Passeriformes,27571
species,evegro,Evening Grosbeak,Coccothraustes vespertinus,"Finches, Euphonias, and Allies",Fringillidae,Passeriformes,31806
species,fiespa,Field Sparrow,Spizella pusilla,New World Sparrows,Passerellidae,Passeriformes,32720
species,forter,Forster's Tern,Sterna forsteri,"Gulls, Terns, and Skimmers",Laridae,Charadriiformes,6657
species,foxspa,Fox Sparrow,Passerella iliaca,New World Sparrows,Passerellidae,Passeriformes,32817
species,fragul,Franklin's Gull,Leucophaeus pipixcan,"Gulls, Terns, and Skimmers",Laridae,Charadriiformes,6428
species,gadwal,Gadwall,Mareca strepera,"Ducks, Geese, and Waterfowl",Anatidae,Anseriformes,487
species,glagul,Glaucous Gull,Larus hyperboreus,"Gulls, Terns, and Skimmers",Laridae,Charadriiformes,6498
species,goleag,Golden Eagle,Aquila chrysaetos,"Hawks, Eagles, and Kites",Accipitridae,Accipitriformes,7969
species,gockin,Golden-crowned Kinglet,Regulus satrapa,Kinglets,Regulidae,Passeriformes,26599
species,gowwar,Golden-winged Warbler,Vermivora chrysoptera,New World Warblers,Parulidae,Passeriformes,33679
species,graspa,Grasshopper Sparrow,Ammodramus savannarum,New World Sparrows,Passerellidae,Passeriformes,32661
species,grycat,Gray Catbird,Dumetella carolinensis,Mockingbirds and Thrashers,Mimidae,Passeriformes,27758
species,gycthr,Gray-cheeked Thrush,Catharus minimus,Thrushes and Allies,Turdidae,Passeriformes,28066
species,gragoo,Graylag Goose,Anser anser,"Ducks, Geese, and Waterfowl",Anatidae,Anseriformes,264
species,gbbgul,Great Black-backed Gull,Larus marinus,"Gulls, Terns, and Skimmers",Laridae,Charadriiformes,6494
species,grbher3,Great Blue Heron,Ardea herodias,"Herons, Egrets, and Bitterns",Ardeidae,Pelecaniformes,7658
species,grcfly,Great Crested Flycatcher,Myiarchus crinitus,Tyrant Flycatchers,Tyrannidae,Passeriformes,17165
species,greegr,Great Egret,Ardea alba,"Herons, Egrets, and Bitterns",Ardeidae,Pelecaniformes,7635
species,grhowl,Great Horned Owl,Bubo virginianus,Owls,Strigidae,Strigiformes,8811
species,gresca,Greater Scaup,Aythya marila,"Ducks, Geese, and Waterfowl",Anatidae,Anseriformes,669
species,gwfgoo,Greater White-fronted Goose,Anser albifrons,"Ducks, Geese, and Waterfowl",Anatidae,Anseriformes,276
species,greyel,Greater Yellowlegs,Tringa melanoleuca,Sandpipers and Allies,Scolopacidae,Charadriiformes,6092
species,grnher,Green Heron,Butorides virescens,"Herons, Egrets, and Bitterns",Ardeidae,Pelecaniformes,7611
species,gnwtea,Green-winged Teal,Anas crecca,"Ducks, Geese, and Waterfowl",Anatidae,Anseriformes,588
species,haiwoo,Hairy Woodpecker,Dryobates villosus,Woodpeckers,Picidae,Piciformes,11314
species,harduc,Harlequin Duck,Histrionicus histrionicus,"Ducks, Geese, and Waterfowl",Anatidae,Anseriformes,702
species,harspa,Harris's Sparrow,Zonotrichia querula,New World Sparrows,Passerellidae,Passeriformes,32916
species,helgui,Helmeted Guineafowl,Numida meleagris,Guineafowl,Numididae,Galliformes,950
species,henspa,Henslow's Sparrow,Centronyx henslowii,New World Sparrows,Passerellidae,Passeriformes,32990
species,herthr,Hermit Thrush,Catharus guttatus,Thrushes and Allies,Turdidae,Passeriformes,28081
species,hoomer,Hooded Merganser,Lophodytes cucullatus,"Ducks, Geese, and Waterfowl",Anatidae,Anseriformes,729
species,hooori,Hooded Oriole,Icterus cucullatus,Troupials and Allies,Icteridae,Passeriformes,33404
species,hoowar,Hooded Warbler,Setophaga citrina,New World Warblers,Parulidae,Passeriformes,33778
species,horgre,Horned Grebe,Podiceps auritus,Grebes,Podicipedidae,Podicipediformes,6787
species,horlar,Horned Lark,Eremophila alpestris,Larks,Alaudidae,Passeriformes,22484
species,houfin,House Finch,Haemorhous mexicanus,"Finches, Euphonias, and Allies",Fringillidae,Passeriformes,32034
species,houspa,House Sparrow,Passer domesticus,Old World Sparrows,Passeridae,Passeriformes,31261
species,hudgod,Hudsonian Godwit,Limosa haemastica,Sandpipers and Allies,Scolopacidae,Charadriiformes,5988
species,y00478,Iceland Gull,Larus glaucoides,"Gulls, Terns, and Skimmers",Laridae,Charadriiformes,6536
species,indbun,Indigo Bunting,Passerina cyanea,Cardinals and Allies,Cardinalidae,Passeriformes,34317
species,kenwar,Kentucky Warbler,Geothlypis formosa,New World Warblers,Parulidae,Passeriformes,33734
species,killde,Killdeer,Charadrius vociferus,Plovers and Lapwings,Charadriidae,Charadriiformes,5770
species,kirwar,Kirtland's Warbler,Setophaga kirtlandii,New World Warblers,Parulidae,Passeriformes,33780
species,laplon,Lapland Longspur,Calcarius lapponicus,Longspurs and Snow Buntings,Calcariidae,Passeriformes,32384
species,leafly,Least Flycatcher,Empidonax minimus,Tyrant Flycatchers,Tyrannidae,Passeriformes,16796
species,leasan,Least Sandpiper,Calidris minutilla,Sandpipers and Allies,Scolopacidae,Charadriiformes,6162
species,lecspa,LeConte's Sparrow,Ammospiza leconteii,New World Sparrows,Passerellidae,Passeriformes,32939
species,lbbgul,Lesser Black-backed Gull,Larus fuscus,"Gulls, Terns, and Skimmers",Laridae,Charadriiformes,6508
species,lessca,Lesser Scaup,Aythya affinis,"Ducks, Geese, and Waterfowl",Anatidae,Anseriformes,675
species,lesyel,Lesser Yellowlegs,Tringa flavipes,Sandpipers and Allies,Scolopacidae,Charadriiformes,6083
species,limpki,Limpkin,Aramus guarauna,Limpkin,Aramidae,Gruiformes,5614
species,linspa,Lincoln's Sparrow,Melospiza lincolnii,New World Sparrows,Passerellidae,Passeriformes,33028
species,libher,Little Blue Heron,Egretta caerulea,"Herons, Egrets, and Bitterns",Ardeidae,Pelecaniformes,7542
species,logshr,Loggerhead Shrike,Lanius ludovicianus,Shrikes,Laniidae,Passeriformes,20860
species,lobdow,Long-billed Dowitcher,Limnodromus scolopaceus,Sandpipers and Allies,Scolopacidae,Charadriiformes,6001
species,lotduc,Long-tailed Duck,Clangula hyemalis,"Ducks, Geese, and Waterfowl",Anatidae,Anseriformes,716
species,louwat,Louisiana Waterthrush,Parkesia motacilla,New World Warblers,Parulidae,Passeriformes,33675
species,magwar,Magnolia Warbler,Setophaga magnolia,New World Warblers,Parulidae,Passeriformes,33800
species,mallar3,Mallard,Anas platyrhynchos,"Ducks, Geese, and Waterfowl",Anatidae,Anseriformes,525
species,manduc,Mandarin Duck,Aix galericulata,"Ducks, Geese, and Waterfowl",Anatidae,Anseriformes,443
species,margod,Marbled Godwit,Limosa fedoa,Sandpipers and Allies,Scolopacidae,Charadriiformes,5991
species,marwre,Marsh Wren,Cistothorus palustris,Wrens,Troglodytidae,Passeriformes,27088
species,merlin,Merlin,Falco columbarius,Falcons and Caracaras,Falconidae,Falconiformes,11947
species,miskit,Mississippi Kite,Ictinia mississippiensis,"Hawks, Eagles, and Kites",Accipitridae,Accipitriformes,8292
